Time Stamp (ms), Temp1(T1), Temp2 (T2),Humidity (H), Pressure (P),AccelX (X), AccelY (Y), AccelZ (Z)
93004,33.31,33.31,30.01,12.38,-3.21,-2.81,-2.85
94004,33.30,33.31,29.69,12.38,-3.21,-2.81,-2.85
95004,33.30,33.31,29.53,12.38,-3.21,-2.81,-2.85
96004,33.30,33.31,29.53,12.38,-3.21,-2.81,-2.85
97004,33.31,33.31,29.85,12.40,-3.21,-2.81,-2.85
98004,33.31,33.31,30.16,12.38,-3.21,-2.81,-2.85
99004,33.31,33.31,30.01,12.38,-3.21,-2.81,-2.85
100004,33.31,33.31,29.53,12.38,-3.21,-2.81,-2.85
101004,33.31,33.31,29.85,12.38,-3.21,-2.81,-2.85
102004,33.31,33.31,29.53,12.38,-3.21,-2.81,-2.85
103004,33.31,33.31,29.69,12.38,-3.21,-2.81,-2.85
104004,33.31,33.31,29.69,12.38,-3.21,-2.81,-2.85
105005,33.30,33.31,29.38,12.38,-3.21,-2.81,-2.85
106004,33.31,33.31,29.53,12.38,-3.21,-2.81,-2.85
107004,33.31,33.31,30.01,12.38,-3.21,-2.81,-2.85
108004,33.30,33.31,29.53,12.38,-3.21,-2.81,-2.85
109004,33.30,33.31,29.53,12.38,-3.21,-2.81,-2.85
110004,33.31,33.31,29.69,12.40,-3.21,-2.81,-2.85
111004,33.30,33.31,29.53,12.38,-3.21,-2.81,-2.85
112004,33.30,33.31,30.01,12.38,-3.21,-2.81,-2.85
113004,33.29,33.32,29.69,12.38,-3.21,-2.81,-2.85
114004,33.31,33.31,29.38,12.38,-3.21,-2.81,-2.85
115004,33.30,33.32,29.69,12.38,-3.21,-2.81,-2.85
116004,33.31,33.31,29.38,12.38,-3.21,-2.81,-2.85
117004,33.31,33.32,29.69,12.38,-3.21,-2.81,-2.85
118004,33.30,33.32,30.16,12.38,-3.21,-2.81,-2.85
119004,33.30,33.32,29.53,12.38,-3.21,-2.81,-2.85
120004,33.30,33.32,29.85,12.38,-3.21,-2.81,-2.85
121005,33.30,33.32,29.38,12.38,-3.21,-2.81,-2.85
122004,33.31,33.32,29.85,12.38,-3.21,-2.81,-2.85
123004,33.30,33.32,29.69,12.38,-3.21,-2.81,-2.85
124004,33.30,33.32,29.69,12.38,-3.21,-2.81,-2.85
125004,33.30,33.32,29.53,12.38,-3.21,-2.81,-2.85
126004,33.29,33.32,29.38,12.38,-3.21,-2.81,-2.85
127004,33.30,33.32,30.01,12.38,-3.21,-2.81,-2.85
128004,33.31,33.32,29.85,12.38,-3.21,-2.81,-2.85
129004,33.31,33.32,29.69,12.38,-3.21,-2.81,-2.85
130004,33.31,33.32,29.53,12.38,-3.21,-2.81,-2.85
131004,33.30,33.32,29.85,12.38,-3.21,-2.81,-2.85
132004,33.29,33.32,29.85,12.38,-3.21,-2.81,-2.85
133004,33.31,33.32,29.38,12.38,-3.21,-2.81,-2.85
134004,33.30,33.32,29.53,12.38,-3.21,-2.81,-2.85
135004,33.31,33.32,30.01,12.38,-3.21,-2.81,-2.85
136004,33.31,33.32,29.38,12.38,-3.21,-2.81,-2.85
137005,33.31,33.32,29.85,12.38,-3.21,-2.81,-2.85
138004,33.30,33.32,29.69,12.38,-3.21,-2.81,-2.85
139004,33.31,33.32,29.38,12.38,-3.21,-2.81,-2.85
140004,33.31,33.32,29.53,12.38,-3.21,-2.81,-2.85
141004,33.31,33.32,29.53,12.38,-3.21,-2.81,-2.85
142004,33.30,33.32,31.43,12.38,-3.21,-2.81,-2.85
143004,33.31,33.32,29.38,12.38,-3.21,-2.81,-2.85
144004,33.31,33.32,29.38,12.38,-3.21,-2.81,-2.85
145004,33.31,33.32,29.53,12.38,-3.21,-2.81,-2.85
146004,33.31,33.32,29.69,12.38,-3.21,-2.81,-2.85
147004,33.31,33.32,29.38,12.38,-3.21,-2.81,-2.85
148004,33.31,33.32,29.53,12.38,-3.21,-2.81,-2.85
149004,33.31,33.32,29.22,12.38,-3.21,-2.81,-2.85
150004,33.31,33.32,29.38,12.38,-3.21,-2.81,-2.85
151004,33.30,33.32,29.53,12.38,-3.21,-2.81,-2.85
152004,33.31,33.32,29.38,12.38,-3.21,-2.81,-2.85
153005,33.30,33.32,29.69,12.38,-3.21,-2.81,-2.85
154004,33.31,33.32,29.53,12.40,-3.21,-2.81,-2.85
155004,33.30,33.32,29.85,12.40,-3.21,-2.81,-2.85
156004,33.31,33.32,29.22,12.38,-3.21,-2.81,-2.85
157004,33.31,33.32,29.85,12.38,-3.21,-2.81,-2.85
158004,33.31,33.32,29.38,12.40,-3.21,-2.81,-2.85
159004,33.30,33.32,29.85,12.40,-3.21,-2.81,-2.85
160004,33.31,33.32,29.85,12.40,-3.21,-2.81,-2.85
161004,33.30,33.33,29.53,12.40,-3.21,-2.81,-2.85
162004,33.30,33.32,29.69,12.40,-3.21,-2.81,-2.85
163004,33.31,33.32,29.38,12.40,-3.21,-2.81,-2.85
164004,33.30,33.32,29.22,12.38,-3.21,-2.81,-2.85
165004,33.30,33.32,29.85,12.40,-3.21,-2.81,-2.85
166004,33.31,33.32,29.38,12.40,-3.21,-2.81,-2.85
167004,33.31,33.33,29.22,12.40,-3.21,-2.81,-2.85
168004,33.30,33.33,29.69,12.40,-3.21,-2.81,-2.85
169005,33.31,33.32,29.22,12.40,-3.21,-2.81,-2.85
170004,33.30,33.33,29.53,12.40,-3.21,-2.81,-2.85
171004,33.31,33.33,29.53,12.40,-3.21,-2.81,-2.85
172004,33.31,33.33,29.38,12.40,-3.21,-2.81,-2.85
173004,33.31,33.33,29.22,12.40,-3.21,-2.81,-2.85
174004,33.31,33.33,29.38,12.40,-3.21,-2.81,-2.85
175004,33.31,33.33,29.38,12.40,-3.21,-2.81,-2.85
176004,33.31,33.33,29.22,12.40,-3.21,-2.81,-2.85
177004,33.31,33.33,29.53,12.40,-3.21,-2.81,-2.85
178004,33.31,33.33,29.69,12.40,-3.21,-2.81,-2.85
179004,33.31,33.33,29.69,12.40,-3.21,-2.81,-2.85
180004,33.31,33.33,29.22,12.38,-3.21,-2.81,-2.85
181004,33.30,33.33,29.22,12.38,-3.21,-2.81,-2.85
182004,33.31,33.33,29.69,12.40,-3.21,-2.81,-2.85
183004,33.30,33.33,29.38,12.40,-3.21,-2.81,-2.85
184004,33.30,33.33,29.22,12.38,-3.21,-2.81,-2.85
185005,33.31,33.33,29.22,12.40,-3.21,-2.81,-2.85
186004,33.31,33.33,29.38,12.40,-3.21,-2.81,-2.85
187004,33.31,33.33,29.22,12.40,-3.21,-2.81,-2.85
188004,33.30,33.33,29.38,12.40,-3.21,-2.81,-2.85
189004,33.31,33.33,29.22,12.40,-3.21,-2.81,-2.85
190004,33.30,33.33,29.53,12.40,-3.21,-2.81,-2.85
191004,33.30,33.33,29.38,12.40,-3.21,-2.81,-2.85
192004,33.31,33.33,29.53,12.40,-3.21,-2.81,-2.85
193004,33.31,33.33,29.22,12.40,-3.21,-2.81,-2.85
